RaYYeR220/veil                                 28   1  Solidity, TypeScript, Go, Python, CSS                 RaYYeR220
a252937166/faktura                             15   2  TypeScript, Solidity, CSS, HTML                       a252937166, supplyweijiemtm@outlook.com
edycutjong/backstop                            0    0  HTML, TypeScript, Solidity, CSS, JavaScript
Risingtell/rill                                0    0  TypeScript, Solidity, HTML
YingchenWang999/signal-harbor                  0    0  JavaScript, TypeScript, Solidity, CSS, HTML
darkty0x/flare-fassets-agent                   0    0  TypeScript, CSS, JavaScript, Solidity
fexx301/embargo                                0    0  TypeScript, Solidity, Go, CSS, Shell
sodiq-code/aegis                               0    0  Go, TypeScript, Solidity, Python, JavaScript
spiffamani/wayafee                             7    2  TypeScript, Solidity, CSS, JavaScript                 godwinchijioke@gmail.com, spiffamani
0xNexuz/cinder                                 0    0  JavaScript, HTML, Solidity, TypeScript, CSS
Carlys17/adumbra-flare                         65   1  HTML, Solidity, Rust, Shell, Python                   Carlys17
Donyemiight/whisper                            0    0  TypeScript, Python, Solidity, Shell, CSS
Hexdee/nightjar                                0    0  Go, Shell, TypeScript, Python, Solidity
JohnboscoE/Veripay                             0    0  TypeScript, Solidity, JavaScript, CSS, HTML
KingOfTheMultiverse/fxrp-agent-radar           6    1  HTML, JavaScript                                      KingOfTheMultiverse
MaxxxDong/flare-evidence-escrow                4    1  HTML, TypeScript, Solidity, CSS                       max@MaxdeMacBook-Air.local
Obiajulu-gif/flareseal                         14   1  TypeScript, Go, Shell, Python, Solidity               Obiajulu-gif
PhiBao/autopilot                               0    0  Solidity, TypeScript, Python, CSS, JavaScript
SharkHand3/fasset-taskbounty                   27   1  TypeScript, CSS, Solidity, JavaScript                 SharkHand3
Tajudeeen/ledgerguard                          31   2  TypeScript, JavaScript, Solidity, CSS                 Tajudeeen, vercel[bot]
a252937166/heirloom                            48   1  TypeScript, JavaScript, Solidity, CSS, Shell          a252937166
dmetagame/ballast                              50   1  Solidity, JavaScript, HTML, Go, Shell                 dmetagame
drained69/Tacit                                14   2  Solidity, TypeScript, JavaScript, Python, HTML        Chinwuba081, PyGuy2
fahmmin/sotto-flare                            22   1  JavaScript, Python, Solidity, HTML, CSS               fahmmin
fahmmin/umbra-flare                            0    0  JavaScript, Python, Solidity, PowerShell, Dockerfile
ikhsanRamadhan/pixelorbit-flare                226  1  TypeScript, Solidity, JavaScript, CSS                 ikhsanRamadhan
jerrymusaga/Keyless                            152  1  TypeScript, Go, Solidity, JavaScript, Shell           jerrymusaga
nonggde/privyroll-signal                       6    1  HTML, TypeScript, Solidity, CSS, JavaScript           nonggde
stephenovo/sealed-credit                       3    1  Go, TypeScript, Shell, Python, CSS                    stephenovo
tang-vu/Vouchsafe                              26   1  TypeScript, Solidity, JavaScript, HTML, CSS           tang-vu
tommycet/creditgate                            163  1  Solidity, TypeScript, Python, Go, Shell               hashir@zama-hackathon.dev
wngstnr-code/SealedFi                          110  3  Go, TypeScript, Solidity, Shell, JavaScript           Wangsit05, scientivan, wngstnr-code
yangyangnovelist-hub/darkstop                  51   1  Solidity, Go, Shell, TypeScript, Python               yyn
Ai-Rook/flare-wallet-port                      52   2  Ai-Rook, queen@Queens-Mac-Studio.local
CryptoZephyr/herkos                            0    0  JavaScript, Solidity, CSS, HTML
Derojuu/VaultDrop                              11   1  TypeScript, CSS, JavaScript                           Derojuu
LSUDOKO/Wraith                                 55   4  TypeScript, Go, Solidity, CSS, JavaScript             LSUDOKO, dependabot[bot], google-labs-jules[bot], semantic-release-bot
Lukeknow0/flare-payflow-guard                  8    2  JavaScript, Python, Makefile                          Lukeknow0, superman32432432
Marc-Dvci/BridgeSafe                           12   2  Go, Solidity, Shell, TypeScript, CSS                  Marc-Dvci, nositrax
NoBanks/traide-flare                           2    1  JavaScript, Solidity                                  nobanksnearby@NoBankss-Mac-mini-4.local
Pandey456/VeilMarket                           45   2  HTML, JavaScript, Solidity                            Pandey456, github-actions[bot]
PugarHuda/buta                                 92   1  Go, TypeScript, JavaScript, Shell, HTML               PugarHuda
PugarHuda/undelayed                            58   1  TypeScript, JavaScript, Solidity, HTML                PugarHuda
Terese678/schoolsave-flare                     27   1  TypeScript, JavaScript, CSS, Solidity, HTML           Terese678
bolajiev/drip                                  16   1  Solidity, TypeScript, CSS, HTML                       drip@hackathon.dev
danielamodu/Warden                             13   1  Go, TypeScript, JavaScript, Shell, Python             danielamodu
davre001/UMBRA                                 105  4  TypeScript, Solidity, Noir, Shell, JavaScript         Dami904, Mazwancreatives, Xyrelix, davre001
envexx/FlareOne                                3    1  TypeScript, Solidity, CSS, JavaScript                 everythingcode-1
huangharen/xrpflow-flare                       7    1  TypeScript, CSS, Solidity, JavaScript                 huangharen
huzi0000/milestonex-flare                      50   1  TypeScript, CSS, Solidity, HTML, JavaScript           huzi0000
luongs3/flare-confidential-settle              6    1  Go, Shell, Solidity, Dockerfile                       luongs3
mashharuki/Flare-Summer-Signal-Hackathon-2026  32   1  TypeScript, Solidity, HTML, Python, JavaScript        mashharuki
mystiquemide/jorqeth                           58   1  TypeScript, Solidity, JavaScript, CSS, Shell          mystiquemide
pplmaverick/flare-prediction-market            34   1  TypeScript, Solidity, CSS, JavaScript                 pplmaverick
thesithunyein/cipher-sign                      80   1  Go, TypeScript, CSS, Shell, JavaScript                thesithunyein
Bsh54/aegisflow                                33   1  TypeScript, Solidity, Python, JavaScript, CSS         Bsh54
Cubiczan/flareintel                            1    1  JavaScript, Solidity, Python, HTML                    z@container
DiveshChauhan123/flare_                        6    1  JavaScript, CSS, Solidity, HTML                       DiveshChauhan123
EndPx/whisperdesk                              111  1  Solidity, TypeScript, Go, JavaScript, Python          EndPx
KingBeeee/cuddly-lamp                          9    2  Python, HTML, Solidity                                KingBeeee, root@3773.example.uk
Theophilus20/flarecredit                       12   1  HTML, Python, JavaScript, CSS, Go                     Theophilus20
Webghost01-NG/flare-pulse-ai                   28   1  TypeScript, Solidity, CSS, JavaScript                 Webghost01-NG
Webghost01-NG/relaypay                         1    1  Solidity                                              Webghost01-NG
anoopbalan25-creator/proofvault                2    1  TypeScript, Solidity, CSS, JavaScript, HTML           anoopbalan25-creator
captainebru84-sudo/ward                        13   1  TypeScript, Solidity, HTML, Python, JavaScript        captainebru84-sudo
cyberrockng/workproof                          42   4  Go, Solidity, Shell, TypeScript, Python               JakobOpresnik, Snojj25, cyberrockng, fassko
holyaustin/PortalFX                            1    1  TypeScript, CSS, JavaScript                           holyaustin
jnhualu-art/agent-builders-cup                 8    2  Python                                                agent@workbuddy.local, jnhualu-art
onchaindc/RippleFi                             65   1  TypeScript, Python, Solidity, CSS, PowerShell         onchaindc
priyaraghavan23/flare-fee-dashboard            9    1  HTML, Python, Solidity                                priyaraghavan23
vibenedict/flavest                             8    1  TypeScript, CSS, JavaScript, Solidity                 vibenedict
Alike001/fasset-sentry                         4    1  Alike001
Cassxbt/fxrp-dark-rfq                          10   1  Go, TypeScript, Shell, Solidity, Python               cassxbt@example.com
FlareForward/ftso-accuracy-data                1    1  FlareForward
FlareForward/ftso-signal-providers             0    0  JavaScript
Folawewo/flareshield                           1    1  Folawewo
Hugegreencandle/fassets-verify                 110  3  Python, HTML, JavaScript, Makefile, Dockerfile        Hugegreencandle, dane@kairovault.com, kvt-verifier@users.noreply.github.com
Kenny-svg/flareramp                            19   2  TypeScript, JavaScript, CSS                           ETIM-PAUL, Kenny-svg
Marvy247/Umbra-Protocol                        96   2  TypeScript, Solidity, JavaScript, CSS                 Marvy247, dev@umbraprotocol.xyz
Milites-Christi/prv1311-flare-submission       24   2  Python, PowerShell, Solidity                          Milites-Christi, sofeel
Rasslonely/NexusXRP                            137  1  TypeScript, Python, JavaScript, Solidity, Shell       Rasslonely
ShalyX/private-fxrp                            14   1  Go, JavaScript, Shell, TypeScript, Python             codex
argenestel/fxrproute                           5    1  Solidity, JavaScript, Python, CSS, Shell              argenestel
davife2025/polycast                            7    1  JavaScript, TypeScript, Solidity, CSS                 davife2025
hari-hara-sudharsan/XRPShield                  97   2  HTML, Java, JavaScript, Solidity, CSS                 Vendhan1512, sudharsanj008gmail.com
luongs3/flare-firegate                         3    1  Solidity, JavaScript, TypeScript, Python              luongs3
major101x/midpoint                             58   1  Go, TypeScript, Solidity, Shell, Python               major101x
martin-gedyk/paigold                           91   2  PHP, JavaScript, HTML, Solidity, PowerShell           Atmyown, martin-gedyk
mashharuki/flare-sample                        4    1  TypeScript, Python, Solidity, HTML, Shell             mashharuki
pplmaverick/fce-extension-scaffold             14   3  Go, Shell, Solidity, Dockerfile, JavaScript           JakobOpresnik, Snojj25, pplmaverick
riush03/Veri                                   2    1  TypeScript, CSS, JavaScript                           Clean-earthw
seekdaseek/haircut                             6    1  JavaScript, Solidity                                  ochinimus@proton.me
sofiadaniellarossi-cmd/fxrp-vault              7    1  HTML, Solidity, JavaScript                            sofiadaniellarossi-cmd
