"registration_id","hacker_id","username","nickname","github_raw","registered_at"
172806,215901,"akshmnd","Akash Mondal","akash-mondal",1782737843
172809,93511,"armsves","armsves","armsves",1782739057
172811,197605,"Gwill","big14way","big14way",1782740065
172812,207962,"emarc99","emarc99","emarc99",1782740106
172816,340792,"U_e8c032fb4c743a","hacker75e21a4","",1782741533
172830,227363,"hassanmubiru","Hassan Mubiru","hassanmubiru",1782752581
172832,340807,"Denarii_DFI","One Millions Devs","kashifbashir204-netizen",1782752902
172862,337089,"johnpraise","Johnpraise","Otuja",1782775236
172904,340879,"katrixrldd","KatrixReloaded","KatrixReloaded",1782806813
172913,164582,"U_4b3a39db82fafc","vmmunoza","",1782811885
172914,340893,"D_castra","Castraccani","adebayo3478",1782813376
172916,340896,"zmrfzn","zmrfzn","zmrfzn",1782815758
172917,94716,"U_a12c0956ce2b20","ESE-MONDAY","",1782816095
172918,142582,"maues","Maues","x-maues",1782817335
172936,332764,"soesoe","soesoe","kataenda",1782826287
172947,340937,"mmac-dev","Max MacFarlane","mmac-dev",1782832914
172949,96520,"U_9a8ed9d9bd60f7","ta77130","TAWFIKQERAN",1782833489
172952,192319,"doublepush","DoublePush","",1782836494
172956,328519,"Pdwadkar","Prasad Wadkar","WPrasad99",1782837204
172959,80126,"ivanmolto","Ivan Molto","ivanmolto",1782838056
172962,74781,"EVMlord","EVMlord","EVMlord",1782839990
172963,252257,"akanimoh","Akan","Akanimoh12",1782840421
173048,338971,"Theotech","Theotech","Theophilus20",1782875992
173058,340994,"selvasiva","Siva","sivadst",1782886684
173077,322905,"southen_","southen_","southenempire",1782906568
173081,185826,"defiGhost","GhOsT","LawrenceKU03",1782909751
173087,334453,"freehoodies","freehoodies","beatp-bit",1782911774
173105,77118,"aditya91","Aditya","aditya000099",1782925062
173110,99836,"U_656438fce19a7d","N DIVIJ","N-45div",1782926175
173119,320286,"Sztch","Sztch","SZtch",1782938544
173125,88895,"U_f827025ab903a6","mr-abims","",1782942792
